#location_id, days, frac_S, frac_I, frac_R
3 2 0.982000 0.018000 0.000000
3 3 0.981000 0.019000 0.000000
3 4 0.981000 0.019000 0.000000
3 5 0.977000 0.023000 0.000000
3 6 0.977000 0.023000 0.000000
3 7 0.976000 0.024000 0.000000
3 8 0.973000 0.027000 0.000000
3 9 0.971000 0.029000 0.000000
3 10 0.969000 0.031000 0.000000
3 11 0.968000 0.031000 0.001000
3 12 0.966000 0.033000 0.001000
3 13 0.964000 0.035000 0.001000
3 14 0.961000 0.037000 0.002000
3 15 0.959000 0.038000 0.003000
3 16 0.955000 0.042000 0.003000
3 17 0.949000 0.047000 0.004000
3 18 0.946000 0.050000 0.004000
3 19 0.945000 0.050000 0.005000
3 20 0.939000 0.055000 0.006000
3 21 0.935000 0.058000 0.007000
3 22 0.931000 0.062000 0.007000
3 23 0.930000 0.063000 0.007000
3 24 0.924000 0.068000 0.008000
3 25 0.918000 0.074000 0.008000
3 26 0.907000 0.082000 0.011000
3 27 0.903000 0.086000 0.011000
3 28 0.896000 0.092000 0.012000
3 29 0.885000 0.103000 0.012000
3 30 0.869000 0.119000 0.012000
3 31 0.863000 0.124000 0.013000
3 32 0.853000 0.133000 0.014000
3 33 0.846000 0.135000 0.019000
3 34 0.843000 0.138000 0.019000
3 35 0.833000 0.147000 0.020000
3 36 0.823000 0.157000 0.020000
3 37 0.820000 0.158000 0.022000
3 38 0.811000 0.167000 0.022000
3 39 0.802000 0.173000 0.025000
3 40 0.783000 0.190000 0.027000
3 41 0.769000 0.203000 0.028000
3 42 0.752000 0.219000 0.029000
3 43 0.741000 0.229000 0.030000
3 44 0.734000 0.231000 0.035000
3 45 0.719000 0.245000 0.036000
3 46 0.708000 0.255000 0.037000
3 47 0.689000 0.272000 0.039000
3 48 0.675000 0.278000 0.047000
3 49 0.659000 0.294000 0.047000
3 50 0.645000 0.304000 0.051000
3 51 0.633000 0.311000 0.056000
3 52 0.616000 0.324000 0.060000
3 53 0.600000 0.338000 0.062000
3 54 0.584000 0.350000 0.066000
3 55 0.568000 0.363000 0.069000
3 56 0.556000 0.370000 0.074000
3 57 0.535000 0.386000 0.079000
3 58 0.527000 0.392000 0.081000
3 59 0.508000 0.407000 0.085000
3 60 0.485000 0.427000 0.088000
3 61 0.467000 0.442000 0.091000
3 62 0.448000 0.455000 0.097000
3 63 0.431000 0.468000 0.101000
3 64 0.418000 0.475000 0.107000
3 65 0.402000 0.488000 0.110000
3 66 0.387000 0.501000 0.112000
3 67 0.368000 0.517000 0.115000
3 68 0.355000 0.522000 0.123000
3 69 0.344000 0.530000 0.126000
3 70 0.330000 0.541000 0.129000
3 71 0.312000 0.556000 0.132000
3 72 0.299000 0.565000 0.136000
3 73 0.288000 0.573000 0.139000
3 74 0.273000 0.587000 0.140000
3 75 0.264000 0.589000 0.147000
3 76 0.248000 0.596000 0.156000
4 0 0.990000 0.010000 0.000000
4 1 0.988000 0.011000 0.001000
4 2 0.985000 0.014000 0.001000
4 3 0.984000 0.015000 0.001000
4 4 0.984000 0.015000 0.001000
4 5 0.983000 0.016000 0.001000
4 6 0.982000 0.017000 0.001000
4 7 0.981000 0.018000 0.001000
4 8 0.980000 0.019000 0.001000
4 9 0.979000 0.020000 0.001000
4 10 0.978000 0.021000 0.001000
4 11 0.976000 0.023000 0.001000
4 12 0.973000 0.026000 0.001000
4 13 0.971000 0.028000 0.001000
4 14 0.970000 0.029000 0.001000
4 15 0.968000 0.030000 0.002000
4 16 0.966000 0.032000 0.002000
4 17 0.965000 0.032000 0.003000
4 18 0.965000 0.031000 0.004000
4 19 0.964000 0.031000 0.005000
4 20 0.962000 0.033000 0.005000
4 21 0.958000 0.036000 0.006000
4 22 0.955000 0.039000 0.006000
4 23 0.948000 0.045000 0.007000
4 24 0.945000 0.048000 0.007000
4 25 0.937000 0.056000 0.007000
4 26 0.927000 0.065000 0.008000
4 27 0.919000 0.073000 0.008000
4 28 0.911000 0.080000 0.009000
4 29 0.907000 0.082000 0.011000
4 30 0.899000 0.090000 0.011000
4 31 0.894000 0.094000 0.012000
4 32 0.887000 0.100000 0.013000
4 33 0.878000 0.109000 0.013000
4 34 0.872000 0.113000 0.015000
4 35 0.864000 0.121000 0.015000
4 36 0.855000 0.129000 0.016000
4 37 0.848000 0.136000 0.016000
4 38 0.839000 0.145000 0.016000
4 39 0.832000 0.150000 0.018000
4 40 0.826000 0.155000 0.019000
4 41 0.815000 0.163000 0.022000
4 42 0.801000 0.176000 0.023000
4 43 0.791000 0.184000 0.025000
4 44 0.783000 0.191000 0.026000
4 45 0.770000 0.204000 0.026000
4 46 0.755000 0.217000 0.028000
4 47 0.743000 0.229000 0.028000
4 48 0.734000 0.236000 0.030000
4 49 0.717000 0.251000 0.032000
4 50 0.705000 0.259000 0.036000
4 51 0.690000 0.271000 0.039000
4 52 0.671000 0.285000 0.044000
4 53 0.656000 0.298000 0.046000
4 54 0.640000 0.309000 0.051000
4 55 0.630000 0.317000 0.053000
4 56 0.608000 0.334000 0.058000
4 57 0.589000 0.349000 0.062000
4 58 0.579000 0.355000 0.066000
4 59 0.565000 0.367000 0.068000
4 60 0.552000 0.379000 0.069000
4 61 0.533000 0.394000 0.073000
4 62 0.518000 0.406000 0.076000
4 63 0.491000 0.432000 0.077000
4 64 0.481000 0.439000 0.080000
4 65 0.470000 0.446000 0.084000
4 66 0.452000 0.457000 0.091000
4 67 0.433000 0.471000 0.096000
4 68 0.408000 0.490000 0.102000
4 69 0.398000 0.495000 0.107000
4 70 0.379000 0.508000 0.113000
4 71 0.362000 0.523000 0.115000
4 72 0.347000 0.534000 0.119000
4 73 0.336000 0.539000 0.125000
4 74 0.324000 0.545000 0.131000
4 75 0.310000 0.547000 0.143000
4 76 0.297000 0.555000 0.148000
5 0 0.989000 0.011000 0.000000
5 1 0.988000 0.012000 0.000000
5 2 0.986000 0.014000 0.000000
5 3 0.983000 0.017000 0.000000
5 4 0.982000 0.018000 0.000000
5 5 0.979000 0.021000 0.000000
5 6 0.975000 0.025000 0.000000
5 7 0.973000 0.026000 0.001000
5 8 0.970000 0.029000 0.001000
5 9 0.968000 0.031000 0.001000
5 10 0.965000 0.034000 0.001000
5 11 0.962000 0.037000 0.001000
5 12 0.958000 0.040000 0.002000
5 13 0.955000 0.042000 0.003000
5 14 0.953000 0.044000 0.003000
5 15 0.951000 0.046000 0.003000
5 16 0.947000 0.050000 0.003000
5 17 0.945000 0.052000 0.003000
5 18 0.940000 0.057000 0.003000
5 19 0.934000 0.063000 0.003000
5 20 0.929000 0.066000 0.005000
5 21 0.924000 0.071000 0.005000
5 22 0.921000 0.074000 0.005000
5 23 0.914000 0.079000 0.007000
5 24 0.909000 0.084000 0.007000
5 25 0.904000 0.088000 0.008000
5 26 0.895000 0.097000 0.008000
5 27 0.887000 0.104000 0.009000
5 28 0.878000 0.111000 0.011000
5 29 0.871000 0.116000 0.013000
5 30 0.863000 0.122000 0.015000
5 31 0.855000 0.125000 0.020000
5 32 0.848000 0.131000 0.021000
5 33 0.839000 0.139000 0.022000
5 34 0.829000 0.146000 0.025000
5 35 0.821000 0.152000 0.027000
5 36 0.809000 0.163000 0.028000
5 37 0.797000 0.174000 0.029000
5 38 0.789000 0.181000 0.030000
5 39 0.774000 0.194000 0.032000
5 40 0.764000 0.203000 0.033000
5 41 0.749000 0.218000 0.033000
5 42 0.739000 0.226000 0.035000
5 43 0.728000 0.233000 0.039000
5 44 0.713000 0.247000 0.040000
5 45 0.695000 0.262000 0.043000
5 46 0.681000 0.271000 0.048000
5 47 0.664000 0.286000 0.050000
5 48 0.643000 0.300000 0.057000
5 49 0.623000 0.318000 0.059000
5 50 0.599000 0.338000 0.063000
5 51 0.580000 0.355000 0.065000
5 52 0.565000 0.366000 0.069000
5 53 0.551000 0.376000 0.073000
5 54 0.536000 0.388000 0.076000
5 55 0.521000 0.397000 0.082000
5 56 0.509000 0.406000 0.085000
5 57 0.486000 0.422000 0.092000
5 58 0.470000 0.433000 0.097000
5 59 0.446000 0.450000 0.104000
5 60 0.431000 0.461000 0.108000
5 61 0.415000 0.473000 0.112000
5 62 0.402000 0.481000 0.117000
5 63 0.393000 0.485000 0.122000
5 64 0.377000 0.500000 0.123000
5 65 0.361000 0.515000 0.124000
5 66 0.348000 0.522000 0.130000
5 67 0.336000 0.532000 0.132000
5 68 0.328000 0.539000 0.133000
5 69 0.317000 0.544000 0.139000
5 70 0.303000 0.550000 0.147000
5 71 0.289000 0.560000 0.151000
5 72 0.278000 0.567000 0.155000
5 73 0.268000 0.571000 0.161000
5 74 0.256000 0.580000 0.164000
5 75 0.248000 0.584000 0.168000
5 76 0.239000 0.592000 0.169000
6 0 0.982000 0.018000 0.000000
6 1 0.978000 0.022000 0.000000
6 2 0.976000 0.024000 0.000000
6 3 0.972000 0.026000 0.002000
6 4 0.971000 0.026000 0.003000
6 5 0.970000 0.027000 0.003000
6 6 0.967000 0.029000 0.004000
6 7 0.966000 0.029000 0.005000
6 8 0.963000 0.031000 0.006000
6 9 0.961000 0.032000 0.007000
6 10 0.958000 0.034000 0.008000
6 11 0.956000 0.036000 0.008000
6 12 0.953000 0.039000 0.008000
6 13 0.950000 0.041000 0.009000
6 14 0.945000 0.045000 0.010000
6 15 0.942000 0.048000 0.010000
6 16 0.939000 0.050000 0.011000
6 17 0.936000 0.052000 0.012000
6 18 0.930000 0.057000 0.013000
6 19 0.928000 0.059000 0.013000
6 20 0.923000 0.064000 0.013000
6 21 0.920000 0.067000 0.013000
6 22 0.916000 0.069000 0.015000
6 23 0.915000 0.070000 0.015000
6 24 0.905000 0.079000 0.016000
6 25 0.895000 0.089000 0.016000
6 26 0.889000 0.094000 0.017000
6 27 0.888000 0.095000 0.017000
6 28 0.881000 0.102000 0.017000
6 29 0.878000 0.105000 0.017000
6 30 0.875000 0.106000 0.019000
6 31 0.869000 0.112000 0.019000
6 32 0.855000 0.126000 0.019000
6 33 0.845000 0.135000 0.020000
6 34 0.834000 0.145000 0.021000
6 35 0.826000 0.151000 0.023000
6 36 0.816000 0.157000 0.027000
6 37 0.803000 0.170000 0.027000
6 38 0.791000 0.181000 0.028000
6 39 0.777000 0.193000 0.030000
6 40 0.756000 0.211000 0.033000
6 41 0.745000 0.221000 0.034000
6 42 0.733000 0.231000 0.036000
6 43 0.719000 0.242000 0.039000
6 44 0.709000 0.250000 0.041000
6 45 0.701000 0.255000 0.044000
6 46 0.685000 0.267000 0.048000
6 47 0.672000 0.280000 0.048000
6 48 0.656000 0.294000 0.050000
6 49 0.645000 0.303000 0.052000
6 50 0.627000 0.317000 0.056000
6 51 0.603000 0.339000 0.058000
6 52 0.586000 0.353000 0.061000
6 53 0.569000 0.367000 0.064000
6 54 0.553000 0.380000 0.067000
6 55 0.535000 0.393000 0.072000
6 56 0.516000 0.409000 0.075000
6 57 0.501000 0.420000 0.079000
6 58 0.486000 0.431000 0.083000
6 59 0.472000 0.441000 0.087000
6 60 0.450000 0.458000 0.092000
6 61 0.444000 0.461000 0.095000
6 62 0.426000 0.473000 0.101000
6 63 0.411000 0.483000 0.106000
6 64 0.400000 0.490000 0.110000
6 65 0.389000 0.501000 0.110000
6 66 0.376000 0.510000 0.114000
6 67 0.362000 0.519000 0.119000
6 68 0.345000 0.533000 0.122000
6 69 0.337000 0.536000 0.127000
6 70 0.328000 0.539000 0.133000
6 71 0.309000 0.550000 0.141000
6 72 0.294000 0.558000 0.148000
6 73 0.284000 0.563000 0.153000
6 74 0.275000 0.565000 0.160000
6 75 0.263000 0.571000 0.166000
6 76 0.254000 0.576000 0.170000
7 0 0.980000 0.020000 0.000000
7 1 0.978000 0.022000 0.000000
7 2 0.975000 0.025000 0.000000
7 3 0.975000 0.025000 0.000000
7 4 0.972000 0.028000 0.000000
7 5 0.970000 0.030000 0.000000
7 6 0.969000 0.031000 0.000000
7 7 0.967000 0.033000 0.000000
7 8 0.964000 0.034000 0.002000
7 9 0.958000 0.040000 0.002000
7 10 0.954000 0.044000 0.002000
7 11 0.952000 0.045000 0.003000
7 12 0.950000 0.047000 0.003000
7 13 0.948000 0.049000 0.003000
7 14 0.942000 0.055000 0.003000
7 15 0.937000 0.060000 0.003000
7 16 0.931000 0.064000 0.005000
7 17 0.927000 0.068000 0.005000
7 18 0.922000 0.073000 0.005000
7 19 0.915000 0.080000 0.005000
7 20 0.909000 0.085000 0.006000
7 21 0.907000 0.086000 0.007000
7 22 0.900000 0.093000 0.007000
7 23 0.896000 0.094000 0.010000
7 24 0.891000 0.098000 0.011000
7 25 0.885000 0.103000 0.012000
7 26 0.874000 0.114000 0.012000
7 27 0.868000 0.119000 0.013000
7 28 0.858000 0.129000 0.013000
7 29 0.851000 0.133000 0.016000
7 30 0.843000 0.140000 0.017000
7 31 0.834000 0.148000 0.018000
7 32 0.824000 0.154000 0.022000
7 33 0.815000 0.159000 0.026000
7 34 0.801000 0.172000 0.027000
7 35 0.792000 0.179000 0.029000
7 36 0.785000 0.183000 0.032000
7 37 0.769000 0.197000 0.034000
7 38 0.758000 0.206000 0.036000
7 39 0.748000 0.215000 0.037000
7 40 0.738000 0.223000 0.039000
7 41 0.722000 0.239000 0.039000
7 42 0.705000 0.255000 0.040000
7 43 0.690000 0.266000 0.044000
7 44 0.672000 0.279000 0.049000
7 45 0.662000 0.286000 0.052000
7 46 0.643000 0.304000 0.053000
7 47 0.632000 0.312000 0.056000
7 48 0.616000 0.326000 0.058000
7 49 0.599000 0.337000 0.064000
7 50 0.588000 0.345000 0.067000
7 51 0.579000 0.351000 0.070000
7 52 0.562000 0.366000 0.072000
7 53 0.547000 0.374000 0.079000
7 54 0.532000 0.386000 0.082000
7 55 0.523000 0.389000 0.088000
7 56 0.507000 0.403000 0.090000
7 57 0.493000 0.409000 0.098000
7 58 0.481000 0.419000 0.100000
7 59 0.465000 0.431000 0.104000
7 60 0.448000 0.443000 0.109000
7 61 0.433000 0.457000 0.110000
7 62 0.422000 0.461000 0.117000
7 63 0.405000 0.468000 0.127000
7 64 0.391000 0.481000 0.128000
7 65 0.376000 0.493000 0.131000
7 66 0.358000 0.506000 0.136000
7 67 0.343000 0.517000 0.140000
7 68 0.335000 0.518000 0.147000
7 69 0.323000 0.525000 0.152000
7 70 0.309000 0.532000 0.159000
7 71 0.299000 0.537000 0.164000
7 72 0.291000 0.541000 0.168000
7 73 0.282000 0.544000 0.174000
7 74 0.270000 0.554000 0.176000
7 75 0.257000 0.561000 0.182000
7 76 0.252000 0.565000 0.183000
8 0 0.983000 0.017000 0.000000
8 1 0.983000 0.017000 0.000000
8 2 0.981000 0.019000 0.000000
8 3 0.978000 0.022000 0.000000
8 4 0.975000 0.025000 0.000000
8 5 0.968000 0.032000 0.000000
8 6 0.965000 0.035000 0.000000
8 7 0.963000 0.037000 0.000000
8 8 0.957000 0.043000 0.000000
8 9 0.954000 0.046000 0.000000
8 10 0.947000 0.052000 0.001000
8 11 0.938000 0.061000 0.001000
8 12 0.931000 0.068000 0.001000
8 13 0.925000 0.072000 0.003000
8 14 0.917000 0.080000 0.003000
8 15 0.913000 0.082000 0.005000
8 16 0.906000 0.089000 0.005000
8 17 0.903000 0.092000 0.005000
8 18 0.891000 0.102000 0.007000
8 19 0.883000 0.109000 0.008000
8 20 0.873000 0.116000 0.011000
8 21 0.865000 0.124000 0.011000
8 22 0.854000 0.134000 0.012000
8 23 0.842000 0.146000 0.012000
8 24 0.836000 0.150000 0.014000
8 25 0.829000 0.157000 0.014000
8 26 0.819000 0.165000 0.016000
8 27 0.813000 0.171000 0.016000
8 28 0.803000 0.181000 0.016000
8 29 0.791000 0.191000 0.018000
8 30 0.771000 0.207000 0.022000
8 31 0.758000 0.219000 0.023000
8 32 0.745000 0.229000 0.026000
8 33 0.727000 0.245000 0.028000
8 34 0.719000 0.253000 0.028000
8 35 0.694000 0.274000 0.032000
8 36 0.681000 0.284000 0.035000
8 37 0.667000 0.295000 0.038000
8 38 0.651000 0.307000 0.042000
8 39 0.630000 0.321000 0.049000
8 40 0.618000 0.326000 0.056000
8 41 0.598000 0.340000 0.062000
8 42 0.588000 0.346000 0.066000
8 43 0.574000 0.355000 0.071000
8 44 0.554000 0.372000 0.074000
8 45 0.540000 0.385000 0.075000
8 46 0.529000 0.392000 0.079000
8 47 0.513000 0.401000 0.086000
8 48 0.496000 0.415000 0.089000
8 49 0.481000 0.427000 0.092000
8 50 0.471000 0.430000 0.099000
8 51 0.450000 0.447000 0.103000
8 52 0.436000 0.459000 0.105000
8 53 0.424000 0.468000 0.108000
8 54 0.411000 0.480000 0.109000
8 55 0.405000 0.477000 0.118000
8 56 0.390000 0.487000 0.123000
8 57 0.375000 0.497000 0.128000
8 58 0.361000 0.511000 0.128000
8 59 0.349000 0.520000 0.131000
8 60 0.339000 0.528000 0.133000
8 61 0.329000 0.532000 0.139000
8 62 0.318000 0.539000 0.143000
8 63 0.308000 0.544000 0.148000
8 64 0.298000 0.548000 0.154000
8 65 0.287000 0.554000 0.159000
8 66 0.280000 0.556000 0.164000
8 67 0.264000 0.563000 0.173000
8 68 0.249000 0.569000 0.182000
8 69 0.243000 0.569000 0.188000
8 70 0.236000 0.572000 0.192000
8 71 0.228000 0.569000 0.203000
8 72 0.220000 0.567000 0.213000
8 73 0.215000 0.567000 0.218000
8 74 0.203000 0.576000 0.221000
8 75 0.192000 0.583000 0.225000
8 76 0.185000 0.586000 0.229000
9 0 0.982000 0.018000 0.000000
9 1 0.977000 0.023000 0.000000
9 2 0.974000 0.025000 0.001000
9 3 0.973000 0.026000 0.001000
9 4 0.968000 0.031000 0.001000
9 5 0.967000 0.031000 0.002000
9 6 0.960000 0.038000 0.002000
9 7 0.954000 0.044000 0.002000
9 8 0.951000 0.047000 0.002000
9 9 0.949000 0.047000 0.004000
9 10 0.943000 0.051000 0.006000
9 11 0.941000 0.052000 0.007000
9 12 0.939000 0.054000 0.007000
9 13 0.931000 0.062000 0.007000
9 14 0.928000 0.063000 0.009000
9 15 0.922000 0.068000 0.010000
9 16 0.919000 0.071000 0.010000
9 17 0.915000 0.074000 0.011000
9 18 0.907000 0.081000 0.012000
9 19 0.900000 0.086000 0.014000
9 20 0.893000 0.091000 0.016000
9 21 0.886000 0.096000 0.018000
9 22 0.878000 0.102000 0.020000
9 23 0.869000 0.110000 0.021000
9 24 0.861000 0.118000 0.021000
9 25 0.853000 0.126000 0.021000
9 26 0.847000 0.130000 0.023000
9 27 0.842000 0.133000 0.025000
9 28 0.833000 0.140000 0.027000
9 29 0.826000 0.144000 0.030000
9 30 0.822000 0.148000 0.030000
9 31 0.814000 0.153000 0.033000
9 32 0.793000 0.174000 0.033000
9 33 0.786000 0.176000 0.038000
9 34 0.771000 0.190000 0.039000
9 35 0.761000 0.194000 0.045000
9 36 0.752000 0.202000 0.046000
9 37 0.742000 0.208000 0.050000
9 38 0.729000 0.217000 0.054000
9 39 0.720000 0.223000 0.057000
9 40 0.707000 0.233000 0.060000
9 41 0.691000 0.248000 0.061000
9 42 0.680000 0.256000 0.064000
9 43 0.668000 0.262000 0.070000
9 44 0.650000 0.279000 0.071000
9 45 0.632000 0.296000 0.072000
9 46 0.616000 0.310000 0.074000
9 47 0.602000 0.320000 0.078000
9 48 0.589000 0.332000 0.079000
9 49 0.578000 0.341000 0.081000
9 50 0.569000 0.348000 0.083000
9 51 0.554000 0.360000 0.086000
9 52 0.538000 0.373000 0.089000
9 53 0.523000 0.387000 0.090000
9 54 0.514000 0.391000 0.095000
9 55 0.503000 0.399000 0.098000
9 56 0.483000 0.418000 0.099000
9 57 0.463000 0.432000 0.105000
9 58 0.451000 0.440000 0.109000
9 59 0.434000 0.449000 0.117000
9 60 0.425000 0.449000 0.126000
9 61 0.418000 0.451000 0.131000
9 62 0.405000 0.459000 0.136000
9 63 0.390000 0.472000 0.138000
9 64 0.376000 0.479000 0.145000
9 65 0.369000 0.480000 0.151000
9 66 0.361000 0.481000 0.158000
9 67 0.350000 0.488000 0.162000
9 68 0.335000 0.501000 0.164000
9 69 0.323000 0.507000 0.170000
9 70 0.305000 0.518000 0.177000
9 71 0.294000 0.523000 0.183000
9 72 0.278000 0.531000 0.191000
9 73 0.264000 0.540000 0.196000
9 74 0.256000 0.543000 0.201000
9 75 0.248000 0.545000 0.207000
9 76 0.235000 0.552000 0.213000
10 0 0.987000 0.013000 0.000000
10 1 0.987000 0.013000 0.000000
10 2 0.986000 0.014000 0.000000
10 3 0.985000 0.015000 0.000000
10 4 0.985000 0.015000 0.000000
10 5 0.984000 0.015000 0.001000
10 6 0.982000 0.017000 0.001000
10 7 0.981000 0.017000 0.002000
10 8 0.978000 0.020000 0.002000
10 9 0.976000 0.021000 0.003000
10 10 0.974000 0.023000 0.003000
10 11 0.972000 0.025000 0.003000
10 12 0.969000 0.027000 0.004000
10 13 0.965000 0.031000 0.004000
10 14 0.963000 0.032000 0.005000
10 15 0.961000 0.033000 0.006000
10 16 0.960000 0.033000 0.007000
10 17 0.957000 0.034000 0.009000
10 18 0.953000 0.038000 0.009000
10 19 0.949000 0.042000 0.009000
10 20 0.946000 0.045000 0.009000
10 21 0.938000 0.052000 0.010000
10 22 0.935000 0.054000 0.011000
10 23 0.931000 0.056000 0.013000
10 24 0.924000 0.063000 0.013000
10 25 0.920000 0.066000 0.014000
10 26 0.914000 0.072000 0.014000
10 27 0.911000 0.075000 0.014000
10 28 0.907000 0.078000 0.015000
10 29 0.900000 0.084000 0.016000
10 30 0.891000 0.092000 0.017000
10 31 0.886000 0.097000 0.017000
10 32 0.880000 0.102000 0.018000
10 33 0.875000 0.106000 0.019000
10 34 0.870000 0.110000 0.020000
10 35 0.863000 0.117000 0.020000
10 36 0.852000 0.127000 0.021000
10 37 0.851000 0.127000 0.022000
10 38 0.840000 0.135000 0.025000
10 39 0.830000 0.144000 0.026000
10 40 0.823000 0.150000 0.027000
